Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
Sushant Lok 1,C306,215 square feet,1st Floor,3 BHK,READY,2.05 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C306,215 square feet,4th Floor,3 BHK,READY,2.15 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C345,300 square feet,1st Floor,4 BHK,READY,3.65 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C345,300 square feet,2nd Floor,4 BHK,READY,3.35 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C345,300 square feet,3rd Floor,4 BHK,READY,3.35 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C477B,300 square feet,1st Floor,4 BHK,READY,3.4 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C477B,300 square feet,3rd Floor,4 BHK,READY,3.2 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,B639,500 square feet,1st Floor,4 BHK,READY,4.75 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,B639,500 square feet,2nd Floor,4 BHK,READY,4.75 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2014,215 square feet,1st Floor,3 BHK,READY,2.4 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C2014,215 square feet,2nd Floor,3 BHK,READY,2.3 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C2052A,300 square feet,1st Floor,4 BHK,READY,3 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2466,300 square feet,1st Floor,4 BHK,READY,2.8 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2650,300 square feet,1st Floor,4 BHK,READY,3.25 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2650,300 square feet,2nd Floor,4 BHK,READY,3 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2650,300 square feet,3rd Floor,4 BHK,READY,3 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C1/2907B,360 square feet,1st Floor,4 BHK,READY,3.75 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C1/2907B,360 square feet,2nd Floor,4 BHK,READY,3.65 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C1/2907B,360 square feet,3rd Floor,4 BHK,READY,3.65 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C1/2907B,360 square feet,4th Floor,4 BHK,READY,4.2 crores,WEST,NO,YES,,,,,,,,,,,
DLF City Phase 1,H1/10,300 square feet,2nd Floor,4 BHK,READY,3.6 crores,NORTH,NO,NO,,,,,,,,,,,
DLF City Phase 1,H1/10,300 square feet,4th Floor,4 BHK,READY,4.1 crores,NORTH,NO,NO,,,,,,,,,,9625431517,ARVINDER JI
South City 1,K21,240 square feet,1st Floor,3 BHK,READY,2.6 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
South City 1,K119,500 square feet,1st Floor,4 BHK,READY,5.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
